country,indicator,percent,ageRange,definition,surveyYear,published,method,scope,confidence,limits,sourceName,sourceUrl
AFG,ipv-lifetime,35,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
AGO,ipv-lifetime,25,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
ALB,ipv-lifetime,13,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
ARE,ipv-lifetime,15,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
ARG,ipv-lifetime,26,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
ARM,ipv-lifetime,12,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
AUS,ipv-lifetime,23,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
AUT,ipv-lifetime,13,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
AZE,ipv-lifetime,13,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
BDI,ipv-lifetime,41,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
BEL,ipv-lifetime,13,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
BEN,ipv-lifetime,25,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
